方言,區,片／小區,小片,方言點,資料筆數,緯度,經度,編號
粵語,,香山片,,中山(石岐),4401,22.516686,113.392795,333
粵語,,香山片,,珠海(前山),4381,22.270715,113.576726,334
粵語,,莞寶片,,東莞(莞城),4387,23.020536,113.751765,335
粵語,,莞寶片,,寶安(沙井),4640,22.737893,113.802593,336
粵語,,莞寶片,,香港(新界錦田),4182,22.453700,114.066400,337
粵語,,海外粵語,,馬來西亞(吉隆坡廣東話),0,3.139003,101.686855,
粵語,,海外粵語,,曼谷(廣府話),4300,13.82031,100.664710,338
平話,,桂北片,兩靈小片,寧遠(清水橋),3532,25.880825,111.952200,339
平話,,桂北片,兩靈小片,龍勝(紅瑤),4356,25.877753,110.143277,340
平話,,桂北片,兩靈小片,靈川(三街),4436,25.463987,110.392641,341
平話,,桂北片,兩靈小片,靈川(潭下),4371,25.452188,110.288861,342
平話,,桂北片,兩靈小片,桂林(朝陽),4366,25.264338,110.344740,343
平話,,桂北片,兩靈小片,桂林(雁山竹園),4362,25.247464,110.282864,344
平話,,桂北片,兩靈小片,臨桂(兩江),4012,25.204605,110.022681,345
平話,,桂北片,兩靈小片,永福(桃城),4352,24.979667,109.981026,346
平話,,桂北片,兩靈小片,陽朔(驥馬),4358,24.778433,110.496682,347
平話,,桂北片,義融小片,臨桂(五通),4319,25.374643,110.069472,348
平話,,桂北片,義融小片,融水(融水鎮),4297,25.078862,109.258508,349
平話,,桂北片,義融小片,平樂(青龍),3130,24.508281,110.844584,350
平話,,桂南片,西南小片,富寧(剝隘),3903,23.929477,106.075395,351
平話,,桂南片,西南小片,百色(那畢)(平話音韻研究),4044,23.883690,106.621100,352
平話,,桂南片,西南小片,馬山(喬利),4012,23.635538,108.110126,353
平話,,桂南片,西南小片,田東(林逢),4394,23.589748,107.211219,354
平話,,桂南片,西南小片,賓陽(蘆墟),3747,23.222253,108.813205,355
平話,,桂南片,西南小片,南寧(亭子),4116,22.789454,108.322845,356
平話,,桂南片,西南小片,橫縣(橫州),4178,22.697010,109.278543,357
平話,,桂南片,西南小片,扶綏(龍頭),4107,22.694345,107.960567,358
平話,,桂南片,西南小片,龍州(上龍),3910,22.417347,106.855434,359
平話,,桂南片,東南小片,藤縣(藤城),4119,23.376423,110.913939,360
平話,,桂南片,東南小片,鬱林(福綿),4281,22.579849,110.050863,361
客語,,粵台片,龍華小片,從化(呂田),4101,23.810703,113.950523,362
客語,,粵台片,龍華小片,河源(廣東),1671,23.743538,114.700450,363
客語,,粵台片,龍華小片,揭西(廣東),1680,23.431191,115.841783,364
客語,,粵台片,龍華小片,河源(紫金縣柏埔鎮),0,23.7047496,114.849821,
客語,,粵台片,梅惠小片,梅縣(廣東),3493,24.265265,116.082129,365
客語,,粵台片,梅惠小片,惠州(市區),4347,23.111847,114.416196,366
客語,,粵台片,梅惠小片,東莞(清溪)(客贛方言調查報告),1671,22.841723,114.165204,367
客語,,粵台片,梅惠小片,東莞(清溪),4265,22.841723,114.165204,368
客語,,粵台片,梅惠小片,深圳(沙頭角),4264,22.550000,114.216667,369
客語,,粵台片,梅惠小片,沙頭角麻雀嶺(香港新界),2897,22.530740,114.201496,370
客語,,粵台片,梅惠小片,西貢荔枝莊(香港新界),2918,22.456845,114.300095,371
客語,,粵台片,梅惠小片,沙田赤泥坪(香港新界),2912,22.418144,114.201962,372
客語,,粵台片,梅惠小片,香港,1654,22.396428,114.109497,373
客語,,粵台片,梅惠小片,屯門楊小坑(香港新界),2924,22.394755,113.966843,374
客語,,粵北片,,連南(廣東),1672,24.726017,112.287012,375
客語,,粵北片,,翁源(廣東),1690,24.350347,114.130342,376
客語,,汀州片,,寧化(福建),1746,26.261754,116.654365,377
客語,,汀州片,,長汀(福建),1717,25.833310,116.351820,378
客語,,汀州片,,武平(福建),1741,25.095506,116.100349,379
客語,,汀州片,,秀篆(福建詔安),1660,24.102458,116.967220,380
客語,,寧龍片,,寧都(江西),1694,26.471255,116.013150,381
客語,,寧龍片,,寧都縣梅江鎮,3339,26.468166,116.021963,382
客語,,寧龍片,,石城,1452,26.326564,116.343479,383
客語,,寧龍片,,龍南,1449,24.911107,114.789811,384
客語,,寧龍片,,定南,1442,24.784410,115.027845,385
客語,,寧龍片,,全南,1448,24.742401,114.530125,386
客語,,寧龍片,,全南縣城廂鎮,2974,24.739972,114.526892,387
客語,,于信片,,于都,1480,25.952066,115.415510,388
客語,,于信片,,上猶縣社溪鄉江頭,3603,25.935586,114.600054,389
客語,,于信片,,贛縣(江西蟠龍鎮),1662,25.821508,114.871560,390
客語,,于信片,,上猶(江西),1458,25.790805,114.537225,391
客語,,于信片,,南康,1449,25.661356,114.765238,392
客語,,于信片,,南康市蓉江鎮,3641,25.661356,114.765238,393
客語,,于信片,,大余(江西),1731,25.395200,114.358083,394
客語,,于信片,,安遠縣欣山鎮,3423,25.138390,115.394376,395
客語,,于信片,,安遠,1454,25.136925,115.393922,396
客語,,銅桂片,,修水縣黃沙橋鄉,3494,28.919841,114.676910,397
客語,,銅桂片,,澡溪,1452,28.748384,114.967994,398
客語,,銅桂片,,平江(嘉義鎮),0,28.639059,113.850407,
客語,,銅桂片,,三都(江西銅鼓),1682,28.566542,114.453869,399
客語,,銅桂片,,銅鼓,1451,28.520747,114.370980,400
客語,,銅桂片,,瀏陽(小河鄉),0,28.219331,114.064220,
客語,,銅桂片,,醴陵(南橋鎮),0,27.851005,113.678628,
客語,,銅桂片,,攸縣(漕泊鄉),0,27.197801,113.788162,
客語,,銅桂片,,茶陵(桃坑鄉),0,26.665428,113.757260,
客語,,銅桂片,,十都(炎陵縣十都鄉),0,26.546801,113.941817,
客語,,銅桂片,,井岡山,1450,26.544110,114.147335,401
客語,,銅桂片,,水口(炎陵縣水口鎮),0,26.319645,113.808772,
客語,,銅桂片,,新田(冀村鎮),0,25.906574,112.221573,
客語,,銅桂片,,汝城(濠頭),0,25.716443,113.817547,
客語,,銅桂片,,汝城(三江口),0,25.365171,113.757054,
客語,,銅桂片,,汝城(三江口鎮),0,25.365171,113.757054,
客語,,銅桂片,,宜章(關溪鎮),0,25.116364,112.966732,
客語,,銅桂片,,江華(未竹口鄉),0,24.866610,111.820619,
客語,,粵西片,,信宜思賀,1681,22.469187,111.577707,402
客語,,粵西片,,信宜錢排,1695,22.368556,111.254340,403
客語,,粵西片,,陽春三甲,1675,22.062300,111.506950,404
客語,,粵西片,,高州新垌,1722,21.906868,111.074764,405
客語,,粵西片,,廉江石角,1680,21.890738,110.323543,406
客語,,粵西片,,陽西塘口,1689,21.827616,111.579373,407
客語,,粵西片,,電白沙琅,1671,21.783483,111.230111,408
客語,,粵西片,,化州新安,1690,21.652739,110.428305,409
客語,,粵西片,,廉江青平,1661,21.627930,109.917811,410
客語,,廣西客語,,梧州西河(蒙山),1662,24.198292,110.519913,411
客語,,廣西客語,,南寧馬山(片聯),4187,23.458533,108.029219,412
客語,,廣西客語,,玉林興業(高峰鄉),4264,22.982309,109.881408,413
客語,,廣西客語,,玉林容縣(縣底鎮縣底村),4137,22.975210,110.572500,414
客語,,廣西客語,,玉林北流(西埌鎮木棉村),4184,22.744944,110.300591,415
客語,,廣西客語,,玉林北流(塘岸),4198,22.592584,110.269637,416
客語,,廣西客語,,玉林福綿(橋鎮新沙村),4121,22.579849,110.050863,417
客語,,廣西客語,,玉林陸川(客贛方言調查報告),1660,22.321058,110.264118,418
客語,,廣西客語,,玉林陸川(橫山鄉四和村),4194,22.240387,110.164941,419
客語,,廣西客語,,玉林博白(新田鎮村頭村),4208,21.967567,109.930749,420
客語,,客語方言島,,中山(南蓢合水),4324,22.492542,113.531779,421
客語,,客語方言島,,中山(五桂山、南蓈),1,22.447717,113.402778,
客語,,海外客語,,曼谷(半山客話),4326,13.820310,100.664710,422
客語,,海外客語,,馬來西亞(柔佛士乃客家話),3663,1.620287,103.656334,423
其他土話,桂東桂北土話,,,富川(七都話),4356,24.814444,111.277389,424
其他土話,桂東桂北土話,,,富川(八都話),4376,24.814444,111.277389,425
其他土話,桂東桂北土話,,,鍾山(公安),4355,24.478941,111.193098,426
其他土話,桂東桂北土話,,,賀州(九都話),4365,24.403570,111.566753,427
其他土話,湘南土話,,,湖南(道縣),4354,25.526438,111.600796,428
其他土話,湘南土話,,,江永城關(白水村),2304,25.274500,111.389000,429
其他土話,湘南土話,,,江永城關(市區),0,25.271960,111.345900,
其他土話,粵北土話(韶州土話),連州土話,,豐陽,2831,25.048997,112.278445,430
其他土話,粵北土話(韶州土話),連州土話,,星子,2856,24.998785,112.560464,431
其他土話,粵北土話(韶州土話),連州土話,,西岸,2899,24.922030,112.291528,432
其他土話,粵北土話(韶州土話),連州土話,,保安,2859,24.911742,112.394404,433
其他土話,粵北土話(韶州土話),連州土話,,連州,2889,24.780554,112.377534,434
