,longitude,latitude,insertDate,uploader,firstLevelid,sheetName,filepath,province,city,country,village,street,oldProvince,oldCity,oldCountry,oldVillage,oldStreet,eastlongitude,northlatitude,population,nation,minorityInfo,dialectInfo,operaInfo,source,degree,area,slice,slices
02139,117.60055555555556,24.599305555555553,,,02139,,福建/芗城区需交文件电子版/模板表/其他/0001调查点概况.xls,福建,漳州市,芗城区,（无）,（无）,,,,,,,,43.6万,汉族人口共有43万，有畲、回、满、苗、土、壮等26个少数民族，人口共有5608人。其中畲族最多，人口数有3948人，分布在天宝镇茶铺村、浦南镇松洲村和宏道村，其余的分布在各镇（街道）的村（居）委会,通行闽南方言漳州话芗城腔。,"芗城区辖四个镇、六个街道办事处和一个管委会。即天宝镇、浦南镇、石亭镇、芝山镇；新桥街道办事处、西桥街道办事处、南坑街道办事处、巷口街道办事处、通北街道办事处、东铺头街道办事处和金峰开发区管委会。通行闽南方言漳州话芗城腔。芗城腔分布在芗城区各乡镇，使用人口43万多，为本地普遍通行的汉语方言。
    芗城话内部有较大的一致性，但是也存在一定的语音差异。尤其是偏北片的天宝镇、浦南镇、石亭镇等地，其口音与偏南片市区一带的口音略有差异。芗城话近年来变化较快，正在向普通话靠拢。",地方戏为闽南方言有芗剧（歌仔戏）、曲艺有南音、锦歌等，杂艺有皮影戏、木偶戏，以芗剧（歌仔戏）较为流行。,6fang,common,,,
02132,119.24166666666667,25.59166666666667,,,02132,,福建/莆田城厢需交文件电子版/模板表/其他/0001调查点概况.xls,福建,莆田,城厢区,凤凰山街道办事处,月塘居委会,,,,,,,,39.3万,汉族，39.3万,（无）,莆仙话，分布在凤凰山、龙桥、霞林等街道，使用人口39.3万，为本地普遍通用的方言，近年来变化较快，正在向普通话靠拢,莆仙戏,6fang,common,,,
02135,118.16083333333333,24.727916666666665,,,02135,,福建/厦门市同安区需交文件电子版/模板表/其他/0001调查点概况.xls,福建,厦门,同安区,大同街道及祥平街道,（无）,,,,,,,,34.21万,其中，蒙古族61人，回族273人，藏族25人，维吾尔族116人，苗族3459人，彝族377人，壮族991人，布依族617人，朝鲜族58人，满族68人，侗族668人，瑶族255人，白族190人，土家族3137人，哈尼族31人，哈萨克族47人，傈僳族5人，佤族71人，畲族501人，傣族134人，黎族65人，东乡族2人，水族134人，拉祜族6人，高山族1人，纳西族5人，金铂族11人，柯尔克孜族4人，土族181人，要老族31人，仡佬族97人，毛南族12人，撒拉族2人，羌族20人，锡伯族3人，阿昌族1人，普米族1人，怒族5人，俄罗斯族1人，乌兹别克族1人，保安族1人，京族13人，未识别214。其他的就是汉族人口了。,（无）,同安话，分布在同安全区，使用人口34.21万，近年来变化较快，正在向普通话靠拢。,南曲在同安区西柯镇一代使用较频繁；答嘴鼓在同安区五显镇使用较频繁。,6fang,common,,,
02134,118.13333333333333,24.45,,,02134,,福建/厦门市思明区需交文件电子版/模板表/其他/0001调查点概况.xls,福建,厦门,思明区,下辖鼓浪屿、鹭江、中华、厦港、开元、筼筜、梧村、嘉莲、莲前、滨海等10 个街道办事处,下辖小学社区、双莲池社区、厦禾社区、大同社区、鹭江道社区、营平社区、禾祥西社区、虎溪社区、深田社区、溪岸社区、阳台山社区、坑内社区、西边社区、后江社区、希望社区、湖滨社区、美湖社区、美仁社区、天湖社区、振兴社区、官任社区、岳阳社区、金桥社区、湖光社区、槟榔社区、屿后西社区、屿后社区、仙阁社区、育秀社区、仙岳社区、一里社区、四里社区、莲岳社区、西郭社区、松柏社区、长青社区、莲兴社区、莲秀社区、莲花北社区、莲花五村社区、盈翠社区、华福社区、莲西社区、莲坂社区、龙山社区、文灶社区、万寿北社区、金榜山社区、文屏社区、梧村社区、金祥社区、滨中社区、双涵社区、浦南社区、东坪社区、溪东社区、龙山桥社区、金鸡亭社区、莲怡社区、莲云社区、莲顺社区、瑞景社区、莲丰社区、侨福社区、莲翔社区、莲薇社区、前埔北社区、前埔南社区、洪文社区、前埔社区、岭兜社区、何厝社区、塔埔社区、西林社区、莲成社区、龙头社区、内厝社区、下沃社区、沙坡尾社区、蜂巢山社区、福海社区、鸿山社区、巡司顶社区、南华社区、文安社区、思南社区、霞溪社区、中山社区、仁安社区、镇海社区、演武社区、白城社区、上李社区、曾厝安社区、黄厝社区等96个社区,,,,,,,,68万,"汉族，67万
回族，0.3万
畲族，0.2万
土家族，0.2万
其他，0.3万",思明区的少数民族中，除畲族主要集中居住于钟宅村外，其他少数民族大多与汉族杂居。少数民族使用的语言大多也是厦门话或者普通话。,厦门话，分布在思明区各街道，使用人口约68万，为本地普遍通用的方言。,南音、高甲戏、歌仔戏、答嘴鼓比较流行,6fang,common,,,
02193,118.45833333333334,26.983333333333334,,,02193,,福建/建瓯需交文件电子版/模板表/其他/概况.xls,福建,南平市,建瓯,芝山街道,都御坪,,,,,,,,54.5,汉族为主，人口约53.6万，畲族、苗族、回族、满族等十个少数民族，人口约0.37万,畲族、苗族、回族、满族、蒙古族等10个少数民族，人口约0.37万，其中建瓯市房道镇吴大元村与东游镇安国寺自然村为畲族聚居地，但大部分讲建瓯话，只有十几个70多岁的老人会讲畲族语。建瓯市川石乡为苗族聚居地，其他少数民族则散居，少则一两个，多则十几个，主要讲建瓯话。,由于建安、瓯宁两县长期并立，加上丘陵与东、西溪的阻隔，建瓯话明显可分为两种口音，县内方言分区大致如下：1、建安话（东溪）包括东峰腔（东游镇、东游镇、川石乡、水源乡）、小桥腔（小桥镇、玉山镇）、南雅腔（南雅镇、迪口镇）。2、瓯宁话（西溪）包括吉阳腔（吉阳镇、徐墩镇、房道镇）、小松腔（小松镇、龙村乡）,主要有方言唱曲、游春戏、木偶戏。方言唱曲子多在佛期庙堂或老人做寿的厅堂演唱；游春戏主要表现乡间俗里的生活情趣；木偶戏的唱段与念白皆为建瓯话。,yubao,common,,,
02197,116.9,26.066666666666666,,,02197,,福建/清流需交文件电子版/模板表/其他/概况.xls,福建,三明,清流,龙津镇,（无）,,,,,,,,15.6万,汉族15.5万,（无）,"本县汉语方言按口音区分大致可分为：清流城关话、长校话、林畲话、灵地话、赖坊话、里田话、沙芜话、余朋话、田源话。使用清流县城关话约6万人、长校话约1.3万人、林畲话约0.6万人、灵地话约2万人、赖坊话约1.2万人、里田话约1万人、沙芜话约1万人、余朋话约1万人、田源话约0.6万人。                         也可粗略分为四片：
城关片，包括龙津镇、嵩口乡、嵩溪乡；长校片，包括长校乡、里田乡；灵地片，包括灵地乡、李家乡、邓家乡、赖坊乡、沙芜乡和田源乡；林畲片，包括林畲乡，温郊乡和余朋乡。
清流话属于汉语的客家方言。",（无）,yubao,common,,,
02194,119.543379,26.215116,,,02194,,福建/连江需交文件电子版/模板表/其他/概况.xls,福建,福州,连江,凤城镇,（无）,,,,,,,,57.1万,全县汉族人口571078人，占总人口97.88%；有16个少数民族，人口计12340人，占总人口2.12%，其中畲族12249人，占总人口2.10%。,连江县有畲族1.2万人，分布在全县19个乡镇。连江县畲族与汉族往来时讲连江话或普通话，本族内部交际时讲本族内部同行的畲语，是福建畲语中的“连罗”片，语音、词汇、语法系统均不同程度受到当地汉语方言的影响。,连江话以城关话为代表，在全县范围内通行。连江话内部差异不大，只有北部的小沧、蓼沿、丹阳、马鼻等乡镇的一些村庄紧邻罗源县，那里的连江话受罗源话影响较多。连江县西南部、南部、东南部的小沧、潘渡、敖江、琯头等乡镇的部分村庄紧邻福州市，这些地方的连江话受福州话影响较大。城郊玉山村有数百人说闽南话；敖江镇北岳村和凤尾村王家墩有闽南话方言岛，大约有四五百人，目前，这些人中的老年人内部交际时仍旧使用闽南话，年轻人已不会说闽南话了。,闽剧,yubao,common,,,
02199,118.1,25.383333333333333,,,02199,,福建/永春需交文件电子版/模板表/其他/概况.xls,福建,泉州,永春,桃城镇、五里街镇,（无）,,,,,,,,54.7万,汉族54.7万,（无）,闽南话，为本地普遍通用的方言，近年来城镇中心变化较多，正在向普通话靠拢,主要是南音、高甲戏、梨园戏等。,yubao,common,,,
02195,119.13333333333333,26.200000000000003,,,02195,,福建/闽侯需交文件电子版/模板表/其他/概况.xls,福建,福州,闽侯,甘蔗街道,昙石村,,,,,,,,66万,以汉族为主，有畲族、苗族、壮族等少数民族。,闽侯大湖六锦畲族有一千多人，说闽侯话和畲语，喜欢对歌。闽侯南通古城苗族有几百人，说闽侯话和苗语，爱唱苗歌。,闽侯地形狭长，内部口音略有差异，主要分为以下几种：一、青口、祥谦、尚干一带，口音比较接近长乐，也受福清方言的影响，使用人口占闽侯总人口的30%-40%；二、南通、上街、南屿一带，与福州城区口音接近，使用人口占20%左右；三、甘蔗、荆溪、白沙、竹歧一带比较复杂，沿江部分的口音以城区甘蔗口音为代表，靠山部分的口音受永泰、闽清影响较大，使用人口占20%-30%；四、大湖一带，人口分散，口音更接近福州晋安区的口音，使用人口占5%左右。,主要是评话、闽剧，当地的许多老百姓、特别是年龄较长的人，很喜欢评话和闽剧。,yubao,common,,,
02191,119.625,27.041666666666664,,,02191,,福建/福安需交文件电子版/模板表/其他/概况.xls,福建,宁德市,福安县,（无）,（无）,,,,,,,,56.85万,汉族50万；畲族人口6万多，占福安人口的11.3%,畲语，福安市畲族人口约9万，占福安人口的15％.,1、福安话，以城关口音为代表，内部差异不大。与邻县接壤的乡镇受周边县市的影响。2、畲语，使用人口呈下降趋势。3、客家话，福安市溪潭乡濑尾村和社口村有部分。,平讲戏,yubao,common,,,
02190,118.225,25.65833333333333,,,02190,,福建/德化需交文件电子版/模板表/其他/概况.xls,福建,泉州,德化,浔中 龙浔,（无）,,,,,,,,31.23万,"大部份为汉族,有畲族、回族",（无）,闽南话，大抵可分为两大片，一是以城关话为代表，包括龙浔镇和浔中，三班，盖德，雷峰，霞碧，南埕、水口、国宝、赤水、美湖等乡，另一片以上涌话为代表，包括上涌、桂阳、汤头，葛坑、杨梅等乡,高甲、南音、木偶,yubao,common,,,
02198,116.11666666666667,25.133333333333333,,,02198,,福建/武平需交文件电子版/模板表/其他/概况.xls,福建,龙岩市,武平县,平川镇,七坊村,,,,,,,,38.25万,汉族38.25万,武平县的人口大多数为汉族，少数民族很少，1982年人口普查，全县的少数民族人口11人，其中蒙古族5人、文山族4人、壮族1人、侗族1人，分别居住在平川、岩前两个镇和中赤、象洞、武东三个乡。,武平方言属于客家话汀州片南片，分为平川片、武南片、武北片、武东片、武西片，平川片分布在平川、万安等乡镇以及城厢乡和中山镇的部分村落，使用人口9万多；武南片分布在岩前、民主、下坝、中赤、象洞等乡镇，使用人口7.9万；武北片分布在桃溪、永平、湘店、大禾等乡镇，使用人口7.4万；武东片分布在十方、中堡、武东等乡镇，使用人口9.8万；武西片分布在东留乡，使用人口2.1万。,（无）,yubao,common,,,
02192,118.96666666666667,26.575,,,02192,,福建/古田需交文件电子版/模板表/其他/概况.xls,福建,宁德地区,古田县,城东、城西街道,（无）,,,,,,,,430915,汉族389529；畲族9008；回族1706；壮族115。,（无）,古田城关话为本地普遍通用的方言；杉洋、大甲、鹤塘三个乡镇说宁德口音的大东话；黄田、水口、湾口等沿闽江乡镇通行福州话和闽清话；凤都乡后溪、半山、小禄、洋后等自然村既说古田话，也说客家话，是双语区。,闽剧,yubao,common,,,
02196,116.68333333333334,26.066666666666666,,,02196,,福建/宁化需交文件电子版/模板表/其他/概况.xls,福建,三明,宁化,翠江镇,（无）,,,,,,,,37万,汉族36万，畲族1万,（无）,"客家方言
城关片： 翠江镇4.5万、城郊乡2.3万、城南乡1.1万、安乐乡2.1万、中沙乡1.7万、济村乡1.5万、湖村镇1.8万；
南片： 曹坊镇 3万  治平乡1万；
安远片：安远镇4.1万；
禾口、淮土片： 石壁镇2.6万、淮土镇3万、方田乡1.2万；
水茜、河龙片： 水茜镇3万、河龙乡0.9万；
泉上片： 泉上镇2.2万。
（方言无法叙述，十里不同音。笼统称为客家方言，没办法再分类。）",（无）,yubao,common,,,
24J26,110.900408312,34.52314262,,,24J26,,河南/灵宝需交文件电子版/模板表/其他/概况.xls,河南,三门峡,灵宝,涧西区管委会,解放村,,,,,,,,754600（截止到2018年）,汉族751300；满族、回族3320。,（无）,灵宝方言内部差别较大，按区域大致可以分为东部、中部和西部三种口音。西部的豫灵、故县等镇古知庄章今读合口的字有读pf、pfh、f的现象（以f最为常见），古深臻两摄今变读阴声韵。中部以城关镇和尹庄镇为代表，无pf、pfh、f组声母，古深臻摄字今读鼻化韵。城关中心区今th声母拼细音不腭化，如地读thi24，郊区则出现腭化，如地读tɕhi24。东部大王、阳店镇鼻音尾韵保留完整，也无pf、pfh、f组声母。,主要有豫剧、眉户、蒲剧和扬高戏。豫剧的知名度最高，眉户和蒲剧最受欢迎，扬高戏流行范围较小。,yubao,common,中原官话,关中片,系属不明
24J25,115.46,35.87,,,24J25,,河南/范县需交文件电子版/模板表/其他/概况.xls,河南,濮阳市,范县,城关镇,（无）,,,,,,,,55.34万（2016年数据）,汉族55.2万人；满族、回族、壮族等少数民族共计1000余人。,（无）,范县地理位置特殊，故其方言与中原官话兖荷片的莘县南部乡镇方言和台前话基本一致，与濮阳话差别较大。不过范县话内部较一致。,范县有国家级非遗项目四平调，另有市级非遗项目山东琴书、河南坠子、犁铧大鼓等，这些曲艺形式活跃在民间，为当下的新农村文化建设做出来贡献。,yubao,common,中原官话,兖荷片,系属不明
24J28,111.48039809,33.3133161,,,24J28,,河南/西峡需交文件电子版/模板表/其他/概况.xls,河南,南阳市,西峡县,城关镇,（无）,,,,,,,,44万（截至2010年底）,主要为汉族，约43万左右，占总人口的99％左右，少数民族主要有回族、蒙族、满族等族，约1万人，占总人口的1％左右。,（无）,本县方言按照其声母、韵母、声调的特点，大致可分为城关、西坪、寨根（含桑坪南部）、米坪、太平镇5个小方言点。其中西坪说为湖北荆襄、安徽潜江、陕西商南和西峡方言结合后的地方话，但潘家港等村居民会话时仍以太平话为主；米坪话的特点是在西峡话基础上与栾川、卢瓦话有相似之处；太平镇以西峡话为主，收栾川嵩县语音影响，形成了自己的特点。西峡境内多方言点主要原因是环境影响和人口迁移影响。,西峡县主要有大调曲子、三弦琴书、锣鼓词、西坪民歌、靠山红等曲艺形式。其中诞生于西峡县米坪镇的“靠山红”戏剧目前面临失传的危机。能唱出几个段子的演员只有4人，有部分不常用的调门和有一定特色的高难度唱腔已经流失。,yubao,common,中原官话,南鲁片,系属不明
24J24,112.0934201,32.6939174,,,24J24,,河南/邓州需交文件电子版/模板表/其他/概况.xls,河南,南阳市,邓州市,城关镇,（无）,,,,,,,,178.6万（2017年数据）,汉族55.2万人；满族、回族、蒙古族、壮族、布依族、土家族、哈萨克族等1000余人。,（无）,邓州方言属于中原官话南鲁片。南鲁片分布区域较广，以南阳为中心，遍及淅川、内乡、邓州、西峡等地。本区域内方言较一致。,邓州主要的曲艺形式有豫西越调和罗卷戏，都属于国家级非物质文化遗产项目。它们以戏曲大篷车的形式活跃在城市和乡村，为新农村文化建设做出了贡献。,yubao,common,中原官话,南鲁片,系数不明
24J29,113.66644773,34.8060704,,,24J29,,河南/郑州需交文件电子版/模板表/其他/概况.xls,河南,郑州市,金水区,（无）,（无）,,,,,,,,1013.6万（2018年）,主要为汉族，约958.81万人，占98.40%；各少数民族人口为54.79万人，占1.6%,（无）,郑州方言属于中原官话郑开片，是居住在市区的大多数人中通行的地方话。郑州市区方言内部略有差异，大致可分为新老两派。老派分尖团，口语中儿化音、u化音较多，新派不分尖团，儿化音向北京音靠拢，u化音明显减少。老派主要分布在管城区，即原城关所在地，新派主要分布在金水、中原、二七等区。,郑州地区的戏剧剧种以豫剧、曲剧、越调影响较大，其中豫剧与京剧、评剧、越剧并称为中国四大剧种。郑州的戏曲氛围浓厚，早在20世纪初，郑州火车站附近的老坟岗汇聚了坠子、相声、评书、戏法、戏曲和拉洋片的艺人，后来，郑州市内各大公园和文化宫成为戏曲爱好者活动的主要场所。,yubao,common,中原官话,郑开片,系属不明
24J23,115.1834776,33.650827,,,24J23,,河南/郸城需交文件电子版/模板表/其他/概况.xls,河南,周口市,郸城县,城关镇,（无）,,,,,,,,140.3万（2013年数据）,汉族占总人口的97%以上，回族等少数民族约占总人口的3%。,（无）,郸城方言属于中原官话商阜片。本县内部语言上无大差别，只有一些词汇说法不同。,（无）,yubao,common,中原官话,商阜片,系属不明
24J27,111.26666666666668,34.75,,,24J27,,河南/三门峡需交文件电子版/模板表/其他/概况.xls,河南,三门峡市,湖滨区,会兴街道,东坡村,,,,,,,,33.22万人（2016年）,汉族占98.85%，另有回、满、蒙古、壮、朝鲜等13个少数民族人口占1.15%左右。,（无）,三门峡市湖滨区是1960年在三门峡工区的基础建立的，原属于陕州专区陕县。本区的方言在分区归属上有争议，中国语言地图集第二版将三门峡归入中原官话关中片，贺巍（2005）归入洛嵩片。三门峡湖滨区目前的方言特点为去声基本不分阴阳，声调为4个，古全浊声母清化规律为无论平仄都读送气。但这一规则也有例外，新派已向普通话靠拢，仄声开始开始不送气。本区内部大致语音差别不大，靠近西部的老陕州城，去声有个别还分阴阳，但大部分已部分。,三门峡使用方言的说唱曲艺有锣鼓书、河南坠子、评书、大鼓书等。地方戏有蒲剧、豫剧等形式。陕州锣鼓书是三门峡特有的说唱艺术，也是蒲剧的前身，是伴随着古人“敬三皇神”而产生的，形成时间早于戏曲。,yubao,common,中原官话,关中片,系属不明
24G01,114.36337398772,36.09683274813,,,24G01,,河南/安阳需交文件电子版/模板表/其他/概况.xls,河南,安阳,文峰区,（无）,（无）,,,,,,,,38万人（2012年统计数据）,人口以汉族为主，蒙古族、回族、满族、壮族等42各少数民族共6000余人，约占总人口的2%。,（无）,安阳话分布在文峰区主要区域，使用人口约38万，为本地普遍通用的方言，近年来变化很大，正在向普通话靠拢。,主要有大平调、二夹弦、大弦戏等地方曲艺形式，一般在逢年过节或者本地其他大型活动时演出。,yubao,common,晋语,邯新片,磁彰小片
24G06,113.333557988,32.729730650434,,,24G06,,河南/泌阳需交文件电子版/模板表/其他/概况.xls,河南,驻马店,泌阳,古城街道办事处,新华居委会,,,,,,,,至2017年底人口总数为93.04万,"汉族92.3万人,占99.21%；回族7400人，占0.79%。",（无）,泌阳方言的内部差别主要表现为城乡差别和新老派差别。中古止摄的日母字在城关三个街道办事处，大都出现了ɭ、ər两读：单字音读ɐr，词汇中读ɭ。城关以外的其他乡镇都只有ɭ一读。全县方言分尖团，但县城中新派方言的尖音已开始消失，老派则保留尖团对立，城关以外的其他乡镇尖团对区分严明。其他方面全县方言内部高度一致。,主要是大调曲子、曲剧、豫剧和坠子书。流行较广的是曲剧和豫剧，妇孺皆知。最具地方特色的是大调曲子和坠子书。在民间，坠子书是最受欢迎的曲艺形式。,yubao,common,中原官话,南鲁片,系属不明
24G05,111.475,34.358333333333334,,,24G05,,河南/洛宁需交文件电子版/模板表/其他/概况.xls,河南,洛阳,洛宁,城关镇,东关社区,,,,,,,,42.13万（2010年第六次人口普查数据）,汉族41.5万余人；少数民族约占总人口的1.37%，其中回族人口最多，约5700余人（2010年第六次人口普查数据）,（无）,洛宁方言，分布在洛宁县10镇8乡，除东北、西北一些乡村外大体一致。近年来，洛宁方言变化较快，年轻人正在向普通话靠拢。洛宁话以城关镇为代表，城关镇下辖西街、西关、东关、凤翔四个行政村，内部语言差异很小，主要表现为韵母的不同，如“靴”，老年人[ɕyə44]，青年人说［ɕyɛ44]。　　,地方戏主要是豫剧、曲剧，说唱艺术有河洛大鼓。豫剧、曲剧都有专业剧团，在洛宁广为传唱；河洛大鼓是濒危曲种，2006年经国务院批准列为第一批国家级非物质文化遗产名录。,yubao,common,中原官话,洛嵩片,系属不明
24G11,113.925,33.650000000000006,,,24G11,,河南/漯河需交文件电子版/模板表/其他/概况.xls,河南,漯河市,郾城区,城关镇,东街村,,,,,,,,49.36万人（2018年）,2018年，郾城共有27个民族，其中少数民族有26个，包括回、壮、侗、白、维吾尔、蒙古等，少数民族人口共有7608人，其中回族最多，有7152人。,（无）,漯河市有三个城区：郾城区、源汇区和召陵区，三区之间因历史上的行政区划变革，在口音方面略有区别。主要区别在语音方面，源汇区和召陵区古知、庄、章完全合并为一套ts、tsh、s、z，但郾城区部分知庄章组有两读现象，即ts、tsh、s、z与tʂ、tʂh、ʂ、ʐ，二者是自由变读。郾城区老城区分尖团，其他两区尖团基本合流，郾城区新派已不分尖团。,本区的方言说唱艺术主要是地方戏，有豫剧、曲剧、越调、河南坠子等形式。豫剧四大流派中的沙河调（此外还有豫东、豫西、祥符）源于漯河，保留了自己的一些独特唱腔。此外，越调在本地区较受欢迎。,yubao,common,中原官话,漯项片,系属不明
24G04,112.73333333333333,33.78333333333333,,,24G04,,河南/鲁山需交文件电子版/模板表/其他/概况.xls,河南,平顶山,鲁山,鲁阳街道办事处,阳光社区,,,,,,,,97万,鲁山县以汉族人口为主，有96.15万余人，约占总人口的99.13%；少数民族33个，约占总人口的0.87%，其中回族人口最多，约6848人（2017年县政府统计数据）,（无）,鲁山方言，分布在鲁山各乡镇，使用人口约96.15万人，为本地普遍通用的方言，近年来变化较快，正在向普通话靠拢，尤其是年轻人。鲁山县各地方言在声母、韵母和声调上无明显差异，差异主要在儿化时韵母的改变上。鲁山县城及城东南、东北等地都是平舌儿化，如“弯儿”[∅uɐr24]，但位于鲁山西北的瓦屋、观音寺等几个乡是翘舌儿化，收［ɯ］尾，如“弯儿”的读音为[∅uɐɯ24]。,地方戏主要是豫剧、曲剧，有专业剧团，在鲁山广为传唱；另有越调流传。曲艺类主要有河南坠子、三弦书、大鼓书等，主要由一些民间组织在各地表演。大鼓书鼓儿词2009年被列入河南省非物质文化遗产保护名录。,yubao,common,中原官话,郑汴片,系属不明
24G03,115.64166666666667,32.175,,,24G03,,河南/固始需交文件电子版/模板表/其他/概况.xls,河南,信阳市,固始县,蓼城街道办事处,汪庙社区,,,,,,,,174万（2016年数据）,汉族173万余人；回族3万余人；蒙古族、满族、土族共1100余人。,（无）,无论是语音、词汇还是语法，固始方言内部都有一定差异，这种差异表现最明显的是语音。全县大致可以划分为东南区、西南区、西北区等三个小方言片。这三个方言片的声韵差异主要表现在声母f/x，n/l，鼻韵尾-n/-ŋ这三个方面。1.东南区，包括城关、南大桥、郭陆滩、黎集、方集、段集、祖师等乡镇，主要特点是n与l，-n与-ŋ不分，但f/x却不混。2.西南区，包括胡族铺、马堽集等乡镇，主要特点是n与l，-n与-ŋ，f/x都不分。3.西北区，包括往流、李店、三河尖等乡镇，主要特点是n与l，-n与-ŋ，f/x都不混。,用固始本地方言演唱的灶戏。,yubao,common,中原官话,信蚌片,系属不明
24G10,114.6576017405,33.652997102,,,24G10,,河南/周口需交文件电子版/模板表/其他/概况.xls,河南,周口,川汇区,七一路街道办事处,李庄社区,,,,,,,,71万（2013年）,汉族63万人；回族7万人。,（无）,周口市川汇区的方言大致以沙河为界分为南北两片。沙河以南是老市区所在地，老派市民tʂ、tʂh、ʂ、ʐ与ts、tsh、s、z已混，但还能读出tʂ、tʂh、ʂ、ʐ来，只是大都属于自由变读，不区分意义；沙河以南地区老派的f、x也不混，20～50岁的中年人出现了混读现象，而20岁以下的年轻人又区分得十分清楚。沙河以北原属郊区，现属于新市区，tʂ、tʂh、ʂ与ts、tsh、s已合并成一套ts、tsh、s；f声母消失，合并到x里。其他如词汇和语法方面，区内高度一致，没有差别。,主要是周口渔鼓，渔鼓也叫“渔鼓道情”，当地老百姓叫“梆梆筒子”，其形式是用三尺三寸长的竹筒，蒙上猪护心皮，配上木筒板拍打发出响音说唱。,yubao,common,中原官话,漯项片,系数不明
24G08,112.9,35.141666666666666,,,24G08,,河南/沁阳需交文件电子版/模板表/其他/概况.xls,河南,焦作市,沁阳市,怀庆办事处,（无）,,,,,,,,49.8万(2008年),汉族为主；主要少数民族是回族，人口将近10000。（2008年）,（无）,沁阳话分布在沁阳市各乡镇，使用人口49万多，为本地普遍通用的方言，近年来变化较快，正在向普通话靠拢。沁阳回民主要居住在城关镇南关、水难关、自治街，以及崇义镇、广利作，他们所说的话与沁阳话的主要区别在于声调与语气。,主要有怀梆、唢呐、豫剧和二夹弦等曲艺形式，怀梆属国家级非物质文化遗产，大约有三千年历史。以前有大型活动时在朱载堉音乐厅演出，现在经常送戏下乡。,yubao,common,晋语,邯新片,获济小片
24G12,115.07352851033,35.7113243117,,,24G12,,河南/濮阳需交文件电子版/模板表/其他/概况.xls,河南,濮阳市,濮阳县,（无）,（无）,,,,,,,,115.1万（2016年末）,以汉族人口为主，回族、维吾尔族、藏族、土家族等21个少数民族人口共计3000余人。(2016年）,（无）,濮阳话分布在全县各个乡镇，涵盖所有人口，为本地的通用方言。近年来变化很快，逐渐向普通话靠拢。,主要有大弦戏，大平调。属于国家级非物质文化遗产。,yubao,common,中原官话,郑开片,系属不明
24G09,113.829595643,34.03086122,,,24G09,,河南/许昌需交文件电子版/模板表/其他/概况.xls,河南,许昌市,魏都区,（无）,（无）,,,,,,,,约489.61万人（截至2017年年底）,主要为汉族，约479.4928万人，还有回族、蒙古族等，但因少数民族人口分布零散，故未见对其统计的人口数,（无）,许昌方言为本地普遍通用的方言，依据当地人语感可分为五个方言区：魏都建安片、禹州片、长葛片、鄢陵片和襄城片。魏都建安片分布在许昌城区，主要包括魏都区和建安区，使用人口约119万人；禹州片主要分布在禹州市及其周边地区，使用人口约125.96万人；长葛片主要分布在长葛市及其周边地区，使用人口约80万人；鄢陵片主要分布在鄢陵县及下辖乡镇，使用人口约68万人；襄城片主要分布在襄城县及其下辖乡镇，使用人口约86.53万人。今年来许昌方言变化较快，正在向普通话靠拢。本手册调查对象为许昌市魏都区方言，属魏都建安片。,有，主要为豫剧和越调，流行于许昌大多数地区。这些地方戏以民间自发组成社团为主，主要以活动和娱乐形式展开，传唱的人以中老年为主，青年爱好者极少。,yubao,common,中原官话,南鲁片,系属不明
24G02,113.85,34.24166666666667,,,24G02,,河南/长葛需交文件电子版/模板表/其他/概况.xls,河南,许昌市,长葛,老城镇,东关村,,,,,,,,78.20万（2017年底）,汉族为主，另有回族，维吾尔族等24个少数民族，共10600多人。,（无）,"长葛市属于许昌市管辖，本市共辖4个街道，10个镇，2个乡。市区内都使用长葛方言。语音方面内部差别不大，但新老派在尖团方面和知庄章组的演化方面有不同。老派尖团分明，新派已经合流都读舌面音。老派知庄章分化为ts,tsh,s,z和tʂ,tʂh,ʂ,ʐ，而新派或有两读，或都读成tʂ,tʂh,ʂ,ʐ。",本县的方言说唱艺术与周边其他县市的说唱艺术大体相同，主要有豫剧，曲剧，越调，河南坠子等。这些地方戏以及民间自发组成社团为主，主要以活动和娱乐形式展开。传唱的人以中老年为主，青年爱好者极少。,yubao,common,中原官话,南鲁片,系属不明
24G07,112.39166666666667,33.041666666666664,,,24G07,,河南/南阳需交文件电子版/模板表/其他/概况.xls,河南,南阳市,宛城区,（无）,（无）,,,,,,,,1194.23万（2017年）,主要为汉族，约1165.57万人；还有回族、蒙古族、满族等43个少数民族，总人口约28.66万人,（无）,南阳方言为本地普遍通用的方言，根据当地人语感，方言内部可分为三个方言区：东部区、西部区和中部区。东部区主要指南阳东南部的桐柏、唐河等县，使用人口人口约140万；西部区主要包括西峡、淅川、内乡三县及镇平、邓州西部，使用人口约170万；中部区以南阳市区为中心，包括宛城、卧龙、方城、社旗等地，使用人口约700万。（引自丁全 1995）,南阳地区主要有大调曲子、三弦书、鼓词、河南坠子及其他曲种。南阳曲艺形式多样，素有：“书山曲海”、“曲艺之乡”之称。大调曲子、三弦书、鼓词、槐书、锣鼓曲、善书、故事植根深远；河南坠子、评书广为流传；另有渔鼓、蛤蟆嗡、莲花落以及相声、山东快书、竹板书等形式。各种曲（书）目计约3千部篇。,yubao,common,中原官话,南鲁片,系属不明
