cid,CCR,zhongguoyuyan,simplified,traditional,character
3707,16831,,瀣,瀣,瀣
3708,22942,,瀹,瀹,瀹
3709,25521,,灋,灋,灋
3710,17769,,灌,灌,灌
3711,13176,0024,火,火,火
3712,22779,0515,灭,滅,滅
3713,7468,,灮,灮,灮
3714,8379,0794,灯,燈,燈
3715,3432,0179,灰,灰,灰
3716,8124,,灵,靈,靈
3717,18673,0287,灶,竈,竈
3718,13901,,灸,灸,灸
3719,19450,,灸,灸,灸
3720,22981,,灼,灼,灼
3721,3680,,灾,灾,灾
3722,3681,,灾,災,災
3723,17718,,灿,燦,燦
3724,7013,,炀,煬,煬
3725,15584,,炁,炁,炁
3726,16224,,炅,炅,炅
3727,2817,,炉,爐,爐
3728,892,,炊,炊,炊
3729,9588,0418,炎,炎,炎
3730,12856,,炒,炒,炒
3731,16225,,炔,炔,炔
3732,13547,,炕,炕,炕
3733,19130,,炕,炕,炕
3734,7511,,炕,炕,炕
3735,4552,,炖,燉,燉
3736,4573,,炖,燉,燉
3737,18892,,炙,炙,炙
3738,23869,,炙,炙,炙
3739,10636,,炜,煒,煒
3740,18367,,炤,炤,炤
3741,17987,,炫,炫,炫
3742,10757,,炬,炬,炬
3743,17639,0462,炭,炭,炭
3744,18515,0299,炮,炮,炮
3745,6208,,炮,炮,炮
3746,13749,,炯,炯,炯
3747,6209,,炰,炰,炰
3748,13592,,炳,炳,炳
3749,15768,,炷,炷,炷
3750,10959,,炷,炷,炷
3751,14553,0427,点,點,點
3752,18033,,炼,鍊,鍊
3753,15454,,炽,熾,熾
3754,22997,,烁,爍,爍
3755,17703,0467,烂,爛,爛
3756,22717,,烈,烈,烈
3757,7012,,烊,烊,烊
3758,40,,烔,烔,烔
3759,3679,,烖,烖,烖
3760,351,0933,烘,烘,烘
3761,23150,,烙,烙,烙
3762,20717,0993,烛,燭,燭
3763,8280,,烝,烝,烝
3764,5149,0543,烟,煙,煙
3765,15676,,烟,菸,菸
3766,5150,,烟,烟,烟
3767,4336,,烦,煩,煩
3768,5885,0318,烧,燒,燒
3769,18457,,烧,燒,燒
3770,25176,,烨,燁,燁
3771,17281,,烬,燼,燼
3772,22751,0520,热,熱,熱
3773,8855,,烰,烰,烰
3774,590,,烽,烽,烽
3775,23851,,烾,烾,烾
3776,5802,,焇,焇,焇
3777,4448,,焉,焉,焉
3778,5637,,焉,焉,焉
3779,5644,,焉,焉,焉
3780,12002,,焊,焊,焊
3781,21459,,焌,焌,焌
3782,17820,,焕,煥,煥
3783,6372,,焘,燾,燾
3784,4190,,焚,焚,焚
3785,11847,,焜,焜,焜
3786,16988,,焠,焠,焠
3787,5862,0313,焦,焦,焦
3788,8023,,焭,焭,焭
3789,22988,,焯,焯,焯
3790,19915,,焰,焰,焰
3791,5323,,然,然,然
3792,7442,,煌,煌,煌
3793,18175,,煎,煎,煎
3794,5319,,煎,煎,煎
3795,10711,,煑,煑,煑
3796,12058,,煖,煖,煖
3797,12055,,煗,煗,煗
3798,20461,,煜,煜,煜
3799,22298,,煞,煞,煞
3800,25347,,煠,煠,煠
3801,3474,0173,煤,煤,煤
3802,10938,,煦,煦,煦
3803,18366,0317,照,照,照
3804,3447,,煨,煨,煨
3805,12853,,煼,煼,煼
3806,18178,,煽,煽,煽
3807,5371,,煽,煽,煽
3808,24260,,熄,熄,熄
3809,126,0959,熊,熊,熊
3810,4234,0700,熏,熏,熏
3811,4235,,熏,燻,燻
3812,1812,,熙,熙,熙
3813,20438,0971,熟,熟,熟
3814,15531,,熨,熨,熨
3815,21518,,熨,熨,熨
3816,6405,0294,熬,熬,熬
3817,12003,,熯,熯,熯
3818,1820,,熹,熹,熹
3819,24711,,熻,熻,熻
3820,5324,,燃,燃,燃
3821,14441,,燄,燄,燄
3822,4191,,燌,燌,燌
3823,6052,,燎,燎,燎
3824,12787,,燎,燎,燎
3825,3830,,燐,燐,燐
3826,18072,,燕,燕,燕
3827,5153,,燕,燕,燕
3828,12917,,燥,燥,燥
3829,15056,,燧,燧,燧
3830,25279,,燮,燮,燮
3831,13007,,燺,燺,燺
3832,19875,,爁,爁,爁
3833,18501,,爆,爆,爆
3834,23328,,爆,爆,爆
3835,19151,,爌,爌,爌
3836,19914,,爓,爓,爓
3837,17704,,爤,爤,爤
3838,17791,,爨,爨,爨
3839,12833,,爪,爪,爪
3840,6961,0029,爬,爬,爬
3841,4321,,爰,爰,爰
3842,17106,0129,爱,愛,愛
3843,23042,,爵,爵,爵
3844,10896,0101,父,父,父
3845,,0049,爷,,爷
3846,13181,,爸,爸,爸
3847,6995,,爹,爹,爹
3848,6068,,爻,爻,爻
3849,13369,,爽,爽,爽
3850,18094,0528,片,片,片
3851,12092,,版,版,版
3852,5094,,牋,牋,牋
3853,3373,0140,牌,牌,牌
3854,3273,,牌,牌,牌
3855,20095,,牍,牘,牘
3856,699,,牎,牎,牎
3857,25350,,牐,牐,牐
3858,25234,,牒,牒,牒
3859,13972,,牖,牖,牖
3860,6907,0036,牙,牙,牙
3861,19225,,牚,牚,牚
3862,8588,0366,牛,牛,牛
3863,11559,,牝,牝,牝
3864,8868,,牟,牟,牟
3865,14025,,牡,牡,牡
3866,6274,,牢,牢,牢
3867,20618,,牧,牧,牧
3868,21480,0704,物,物,物
3869,11069,,牯,牯,牯
3870,7729,,牲,牲,牲
3871,11190,,牴,牴,牴
3872,5207,0540,牵,牽,牽
3873,18053,,牵,牽,牽
3874,15393,,牸,牸,牸
3875,24520,0805,特,特,特
3876,959,,牺,犧,犧
3877,3136,,犀,犀,犀
3878,,0162,犁,,犁
3879,1452,,犂,犂,犂
3880,2935,,犂,犂,犂
3881,4592,,犇,犇,犇
3882,20112,,犊,犢,犢
3883,4441,,犍,犍,犍
3884,5587,,犍,犍,犍
3885,512,,犎,犎,犎
3886,18669,,犒,犒,犒
3887,8630,,犨,犨,犨
3888,8629,,犫,犫,犫
3889,12292,,犬,犬,犬
3890,14655,0437,犯,犯,犯
3891,18981,,状,狀,狀
3892,13403,,犷,獷,獷
3893,13648,,犷,獷,獷
3894,8543,,犹,猶,猶
3895,7292,0771,狂,狂,狂
3896,13877,,狃,狃,狃
3897,24072,,狄,狄,狄
3898,16598,,狈,狽,狽
3899,25407,,狎,狎,狎
3900,2666,,狐,狐,狐
3901,15547,,狒,狒,狒
3902,14067,0340,狗,狗,狗
3903,2116,,狙,狙,狙
3904,7762,,狞,獰,獰
3905,12819,,狡,狡,狡
3906,113,,狨,狨,狨
3907,19476,,狩,狩,狩
3908,20087,,独,獨,獨
3909,25324,,狭,狹,狹
3910,1318,,狮,獅,獅
3911,7907,,狰,猙,猙
3912,20731,,狱,獄,獄
3913,4532,,狲,猻,猻
3914,2095,,狳,狳,狳
3915,1777,,狸,狸,狸
3916,3907,,狺,狺,狺
3917,7353,,狼,狼,狼
3918,3114,,猊,猊,猊
3919,25064,,猎,獵,獵
3920,7111,,猐,猐,猐
3921,19926,,猒,猒,猒
3922,1179,,猕,獼,獼
3923,7105,,猖,猖,猖
3924,13637,0831,猛,猛,猛
3925,3691,,猜,猜,猜
3926,21874,,猝,猝,猝
3927,2672,,猢,猢,猢
3928,11338,,猥,猥,猥
3929,4334,,猨,猨,猨
3930,7730,,猩,猩,猩
3931,8114,,猩,猩,猩
3932,2161,0084,猪,豬,豬
3933,2163,,猪,猪,猪
3934,6136,0300,猫,貓,貓
3935,5977,,猫,猫,猫
3936,5976,,猫,貓,貓
3937,15497,,猬,蝟,蝟
3938,17529,,献,獻,獻
3939,6442,,猱,猱,猱
3940,8897,,猴,猴,猴
3941,8542,,猷,猷,猷
3942,22227,,猾,猾,猾
3943,4335,,猿,猿,猿
3944,6242,,獋,獋,獋
3945,7096,,獐,獐,獐
3946,11922,,獖,獖,獖
3947,5764,,獠,獠,獠
3948,21938,,獭,獺,獺
3949,22359,,獭,獺,獺
3950,4866,,獾,獾,獾
3951,5281,,玄,玄,玄
3952,18418,,玅,玅,玅
3953,5287,,玆,玆,玆
3954,15146,,率,率,率
3955,21311,,率,率,率
3956,20730,0999,玉,玉,玉
3957,7269,0772,王,王,王
3958,8095,,玎,玎,玎
3959,1978,,玑,璣,璣
3960,13900,,玖,玖,玖
3961,22469,,玦,玦,玦
3962,17794,,玩,玩,玩
3963,17796,,玩,翫,翫
3964,3473,,玫,玫,玫
3965,10639,,玮,瑋,瑋
3966,4954,,环,環,環
3967,18061,0542,现,現,現
3968,8152,,玲,玲,玲
3969,14554,,玷,玷,玷
3970,10191,,玺,璽,璽
3971,6691,,玻,玻,玻
3972,23515,,珀,珀,珀
3973,6583,,珂,珂,珂
3974,4679,,珊,珊,珊
3975,3857,,珍,珍,珍
3976,252,,珑,瓏,瓏
3977,23152,,珞,珞,珞
3978,2471,,珠,珠,珠
3979,12973,,珤,珤,珤
3980,5897,,珧,珧,珧
3981,3205,,珪,珪,珪
3982,4973,0491,班,班,班
3983,16943,,珮,珮,珮
3984,4481,,珲,琿,琿
3985,5507,,琁,琁,琁
3986,8807,0363,球,球,球
3987,7350,,琅,琅,琅
3988,10528,,理,理,理
3989,19545,,琇,琇,琇
3990,12421,,琏,璉,璉
3991,13106,,琐,瑣,瑣
3992,12168,,琖,琖,琖
3993,2033,,琚,琚,琚
3994,9115,,琛,琛,琛
3995,20919,,琢,琢,琢
3996,11095,,琥,琥,琥
3997,924,,琦,琦,琦
3998,4489,,琨,琨,琨
3999,1697,,琪,琪,琪
4000,17760,,琬,琬,琬
4001,391,,琮,琮,琮
4002,9108,,琳,琳,琳
4003,9204,0450,琴,琴,琴
4004,1323,,琵,琵,琵
4005,6963,,琶,琶,琶
4006,8020,,琼,瓊,瓊
4007,18608,,瑁,瑁,瑁
4008,5463,,瑄,瑄,瑄
4009,6857,,瑕,瑕,瑕
4010,6759,,瑘,瑘,瑘
4011,2669,,瑚,瑚,瑚
4012,7681,,瑛,瑛,瑛
4013,2434,,瑜,瑜,瑜
4014,14998,,瑞,瑞,瑞
4015,21473,,瑟,瑟,瑟
4016,8499,,瑠,瑠,瑠
4017,3488,,瑰,瑰,瑰
4018,5919,,瑶,瑤,瑤
4019,11427,,璀,璀,璀
4020,1026,,璃,璃,璃
4021,8808,,璆,璆,璆
4022,5508,,璇,璇,璇
4023,7091,,璋,璋,璋
4024,15896,,璐,璐,璐
4025,8021,,璚,璚,璚
4026,7437,,璜,璜,璜
4027,20977,,璞,璞,璞
4028,4359,,璠,璠,璠
4029,23938,,璧,璧,璧
4030,17719,,璨,璨,璨
4031,17390,,璺,璺,璺
4032,7180,,瓖,瓖,瓖
4033,6799,0052,瓜,瓜,瓜
4034,15950,,瓠,瓠,瓠
4035,2682,,瓠,瓠,瓠
4036,5962,,瓢,瓢,瓢
4037,17939,,瓣,瓣,瓣
4038,7156,,瓤,瓤,瓤
4039,7207,,瓤,瓤,瓤
4040,13271,0053,瓦,瓦,瓦
4041,18949,,瓦,瓦,瓦
4042,714,,瓨,瓨,瓨
4043,14708,,瓮,瓮,瓮
4044,14709,,瓮,甕,甕
4045,8916,,瓯,甌,甌
4046,8145,,瓴,瓴,瓴
4047,8249,0889,瓶,瓶,瓶
4048,1393,,瓷,瓷,瓷
4049,3734,,甄,甄,甄
4050,5554,,甎,甎,甎
4051,19370,,甑,甑,甑
4052,7822,,甖,甖,甖
4053,9432,0392,甘,甘,甘
4054,14236,,甚,甚,甚
4055,19806,,甚,甚,甚
4056,9670,0430,甜,甜,甜
4057,7220,,甞,甞,甞
4058,7727,0834,生,生,生
4059,7733,,甥,甥,甥
4060,14778,0990,用,用,用
4061,10852,,甫,甫,甫
4062,9946,,甬,甬,甬
4063,5169,0532,田,田,田
4064,8546,,由,由,由
4065,25430,0407,甲,甲,甲
4066,3803,,申,申,申
4067,18009,,电,電,電
4068,9321,,男,男,男
4069,18015,,甸,甸,甸
4070,16736,0190,画,畫,畫
4071,7787,,甿,甿,甿
4072,15298,,畀,畀,畀
4073,19002,,畅,暢,暢
4074,17476,,畈,畈,畈
4075,16795,,界,界,界
4076,15533,,畏,畏,畏
4077,17856,,畔,畔,畔
4078,8482,,留,留,留
4079,11864,,畚,畚,畚
4080,11507,,畛,畛,畛
4081,20514,0967,畜,畜,畜
4082,19521,,畜,畜,畜
4083,14031,,畞,畞,畞
4084,22967,,略,略,略
4085,3240,,畦,畦,畦
4086,4337,,番,番,番
4087,4377,,番,番,番
4088,6756,,畬,畬,畬
4089,14030,,畮,畮,畮
4090,8764,,畴,疇,疇
4091,1085,,畸,畸,畸
4092,11810,,畹,畹,畹
4093,7116,,畺,畺,畺
4094,1949,,畿,畿,畿
4095,12026,,疃,疃,疃
4096,7117,,疆,疆,疆
4097,10774,,疋,疋,疋
4098,15666,,疏,疏,疏
4099,2135,,疏,疏,疏
4100,1668,,疑,疑,疑
4101,10435,,疕,疕,疕
4102,10290,,疕,疕,疕
4103,22442,,疖,癤,癤
4104,18432,,疗,療,療
4105,21592,,疙,疙,疙
4106,19454,,疚,疚,疚
4107,17885,,疝,疝,疝
4108,5010,,疝,疝,疝
4109,23027,,疟,瘧,瘧
4110,7018,,疡,瘍,瘍
4111,8458,,疣,疣,疣
4112,16798,,疥,疥,疥
4113,23925,,疫,疫,疫
4114,7191,0735,疮,瘡,瘡
4115,15762,,疰,疰,疰
4116,1000,,疲,疲,疲
4117,18864,,疴,疴,疴
4118,6589,,疴,痾,痾
4119,1059,,疵,疵,疵
4120,1610,,疷,疷,疷
4121,11947,,疸,疸,疸
4122,11506,,疹,疹,疹
4123,369,,疼,疼,疼
4124,2109,,疽,疽,疽
4125,21217,,疾,疾,疾
4126,15510,,疿,疿,疿
4127,2632,,痀,痀,痀
4128,6836,,痂,痂,痂
4129,5146,,痃,痃,痃
4130,13280,,痄,痄,痄
4131,19193,0860,病,病,病
4132,8353,,症,癥,癥
4133,536,,痈,癰,癰
4134,13701,,痉,痙,痙
4135,5537,,痊,痊,痊
4136,1299,,痍,痍,痍
4137,13307,0749,痒,癢,癢
4138,13306,,痒,痒,痒
4139,10543,,痔,痔,痔
4140,4615,,痕,痕,痕
4141,13217,,痖,瘂,瘂
4142,14731,0922,痛,痛,痛
4143,10343,,痞,痞,痞
4144,15169,,痢,痢,痢
4145,15358,,痣,痣,痣
4146,6648,,痤,痤,痤
4147,18627,,痨,癆,癆
4148,12028,,痪,瘓,瘓
4149,5023,,痫,癇,癇
4150,9426,,痰,痰,痰
4151,15560,,痱,痱,痱
4152,1930,,痱,痱,痱
4153,11432,,痱,痱,痱
4154,6749,,痲,痲,痲
4155,1831,,痴,癡,癡
4156,1834,,痴,痴,痴
4157,15297,,痹,痹,痹
4158,15927,,痼,痼,痼
4159,853,,痿,痿,痿
4160,15671,,瘀,瘀,瘀
4161,15310,,瘁,瘁,瘁
4162,4653,,瘅,癉,癉
4163,2448,,瘉,瘉,瘉
4164,8907,,瘊,瘊,瘊
4165,21961,,瘌,瘌,瘌
4166,6848,,瘕,瘕,瘕
4167,9258,,瘖,瘖,瘖
4168,19726,,瘘,瘻,瘻
4169,16169,,瘛,瘛,瘛
4170,23907,,瘠,瘠,瘠
4171,4883,,瘢,瘢,瘢
4172,8495,,瘤,瘤,瘤
4173,16746,,瘥,瘥,瘥
4174,19498,0357,瘦,瘦,瘦
4175,5197,,瘨,瘨,瘨
4176,22668,,瘪,癟,癟
4177,22862,,瘪,癟,癟
4178,13152,,瘰,瘰,瘰
4179,8624,,瘳,瘳,瘳
4180,19033,,瘴,瘴,瘴
4181,16790,,瘵,瘵,瘵
4182,19676,,瘶,瘶,瘶
4183,6742,,瘸,瘸,瘸
4184,23139,,瘼,瘼,瘼
4185,7448,,癀,癀,癀
4186,173,,癃,癃,癃
4187,24322,,癔,癔,癔
4188,23946,,癖,癖,癖
4189,11350,,癗,癗,癗
4190,16688,,癞,癩,癩
4191,21964,,癞,癩,癩
4192,12306,,癣,癬,癬
4193,5198,,癫,癲,癲
4194,2333,,癯,癯,癯
4195,10422,,癸,癸,癸
4196,8377,,登,登,登
4197,23424,0843,白,白,白
4198,23432,0841,百,百,百
4199,12951,,皂,皁,皁
4200,18506,,皃,皃,皃
4201,24032,,的,的,的
4202,3341,,皆,皆,皆
4203,7436,,皇,皇,皇
4204,6254,,皋,皋,皋
4205,12584,,皎,皎,皎
4206,3720,,皑,皚,皚
4207,12115,,皖,皖,皖
4208,23961,,皙,皙,皙
4209,999,0198,皮,皮,皮
4210,19501,,皱,皺,皺
4211,4244,,皲,皸,皸
4212,4057,,皴,皴,皴
4213,13625,,皿,皿,皿
4214,2288,,盂,盂,盂
4215,70,,盅,盅,盅
4216,92,,盅,盅,盅
4217,4585,0663,盆,盆,盆
4218,7931,,盈,盈,盈
4219,18724,,盉,盉,盉
4220,23792,0888,益,益,益
4221,22060,,盋,盋,盋
4222,12024,,盌,盌,盌
4223,24927,,盍,盍,盍
4224,19111,,盎,盎,盎
4225,12169,,盏,盞,盞
4226,9490,0419,盐,鹽,鹽
4227,19918,,盐,鹽,鹽
4228,9800,0405,监,監,監
4229,20029,,监,監,監
4230,24769,0386,盒,盒,盒
4231,3445,,盔,盔,盔
4232,16552,0132,盖,蓋,蓋
4233,18572,,盗,盜,盜
4234,4880,0555,盘,盤,盤
4235,19288,,盛,盛,盛
4236,7977,,盛,盛,盛
4237,7705,,盟,盟,盟
4238,17784,,盥,盥,盥
4239,9337,,盦,盦,盦
4240,11064,,盬,盬,盬
4241,20613,0963,目,目,目
4242,13653,,盯,盯,盯
4243,7710,,盯,盯,盯
4244,7600,,盲,盲,盲
4245,24223,0821,直,直,直
4246,19087,,相,相,相
4247,7174,,相,相,相
4248,17344,,盹,盹,盹
4249,17944,,盼,盼,盼
4250,11657,,盾,盾,盾
4251,11884,,盾,盾,盾
4252,13613,0835,省,省,省
4253,13732,,省,省,省
4254,12247,,眄,眄,眄
4255,12724,,眇,眇,眇
4256,9385,,眈,眈,眈
4257,1544,0215,眉,眉,眉
4258,18607,,眊,眊,眊
4259,17691,0470,看,看,看
4260,4732,,看,看,看
4261,8921,,眍,瞘,瞘
4262,15162,,眎,眎,眎
4263,10334,,眎,眎,眎
4264,16956,,眛,眛,眛
4265,3733,,真,真,真
4266,5225,,眠,眠,眠
4267,15163,,眡,眡,眡
4268,10333,,眡,眡,眡
4269,14936,,眦,眥,眥
4270,25367,,眨,眨,眨
4271,17986,,眩,眩,眩
4272,5284,,眩,眩,眩
4273,11246,,眯,眯,眯
4274,17381,,眴,眴,眴
4275,798,,眵,眵,眵
4276,1267,,眵,眵,眵
4277,7266,,眶,眶,眶
4278,18187,,眷,眷,眷
4279,8867,,眸,眸,眸
4280,18304,,眺,眺,眺
4281,18960,,眻,眻,眻
4282,12166,0486,眼,眼,眼
4283,,0753,着,,着
4284,13681,,睁,睜,睜
4285,1545,,睂,睂,睂
4286,17128,,睐,睞,睞
4287,8374,,睖,睖,睖
4288,7924,,睛,睛,睛
4289,18188,,睠,睠,睠
4290,14997,,睡,睡,睡
4291,1522,,睢,睢,睢
4292,20655,,督,督,督
4293,20614,,睦,睦,睦
4294,16142,,睨,睨,睨
4295,23801,,睪,睪,睪
4296,25043,,睫,睫,睫
4297,11045,,睹,睹,睹
4298,16338,,睿,睿,睿
4299,19633,,瞀,瞀,瞀
4300,3870,,瞋,瞋,瞋
4301,22355,0496,瞎,瞎,瞎
4302,5226,,瞑,瞑,瞑
4303,8244,,瞑,瞑,瞑
4304,4902,,瞒,瞞,瞞
4305,16192,,瞖,瞖,瞖
4306,17380,,瞚,瞚,瞚
4307,6042,,瞟,瞟,瞟
4308,12722,,瞟,瞟,瞟
4309,7661,,瞠,瞠,瞠
4310,22658,,瞥,瞥,瞥
4311,22859,,瞥,瞥,瞥
4312,20720,,瞩,矚,矚
4313,19381,,瞪,瞪,瞪
4314,7887,,瞪,瞪,瞪
4315,8290,,瞪,瞪,瞪
4316,17379,,瞬,瞬,瞬
4317,5756,,瞭,瞭,瞭
4318,12608,,瞭,瞭,瞭
4319,19867,,瞰,瞰,瞰
4320,29,,瞳,瞳,瞳
4321,9551,,瞻,瞻,瞻
4322,11058,,瞽,瞽,瞽
4323,2345,,瞿,瞿,瞿
4324,23091,,矍,矍,矍
4325,20547,,矗,矗,矗
4326,8870,,矛,矛,矛
4327,8350,,矜,矜,矜
4328,20906,,矟,矟,矟
4329,10388,,矢,矢,矢
4330,10575,,矣,矣,矣
4331,1193,0202,知,知,知
4332,8890,,矦,矦,矦
4333,10977,,矩,矩,矩
4334,10978,,矩,榘,榘
4335,12739,,矫,矯,矯
4336,6647,,矬,矬,矬
4337,12019,0558,短,短,短
4338,11296,0149,矮,矮,矮
4339,23860,0887,石,石,石
4340,19316,,矴,矴,矴
4341,1970,,矶,磯,磯
4342,17676,,矸,矸,矸
4343,669,,矼,矼,矼
4344,4355,,矾,礬,礬
4345,13643,,矿,礦,礦
4346,13186,,码,碼,碼
4347,6899,,砂,砂,砂
4348,16124,,砌,砌,砌
4349,18831,,砑,砑,砑
4350,18065,,研,研,研
4351,5219,,研,研,研
4352,,0593,砖,,砖
4353,18064,,砚,硯,硯
4354,25493,,砝,砝,砝
4355,23322,,砟,砟,砟
4356,10037,,砥,砥,砥
4357,10330,,砥,砥,砥
4358,9141,,砧,砧,砧
4359,9525,,砭,砭,砭
4360,18759,0013,破,破,破
4361,16483,,砺,礪,礪
4362,14684,,砻,礱,礱
4363,242,,砻,礱,礱
4364,23994,,砾,礫,礫
4365,10778,,础,礎,礎
4366,5536,,硂,硂,硂
4367,23549,,硅,硅,硅
4368,17100,,硋,硋,硋
4369,23158,,硌,硌,硌
4370,7596,,硎,硎,硎
4371,8066,,硎,硎,硎
4372,23861,,硕,碩,碩
4373,5803,,硝,硝,硝
4374,5306,,硟,硟,硟
4375,22920,,硩,硩,硩
4376,8520,,硫,硫,硫
4377,19247,0839,硬,硬,硬
4378,7197,,硭,硭,硭
4379,20997,,确,確,確
4380,1706,,碁,碁,碁
4381,20207,,碌,碌,碌
4382,20808,,碌,碌,碌
4383,17099,,碍,礙,礙
4384,17032,0178,碎,碎,碎
4385,908,0197,碑,碑,碑
4386,16982,,碓,碓,碓
4387,11921,,碖,碖,碖
4388,,0569,碗,,碗
4389,14241,,碜,磣,磣
4390,9743,,碞,碞,碞
4391,,0435,碟,,碟
4392,20390,,碡,碡,碡
4393,22740,,碣,碣,碣
4394,23950,,碧,碧,碧
4395,9140,,碪,碪,碪
4396,12909,,碯,碯,碯
4397,14607,,碱,鹼,鹼
4398,20998,,碻,碻,碻
4399,18274,,碾,碾,碾
4400,7497,,磅,磅,磅
4401,3162,,磇,磇,磇
4402,13476,,磉,磉,磉
4403,11349,,磊,磊,磊
4404,6474,,磋,磋,磋
4405,3198,,磎,磎,磎
4406,4886,,磐,磐,磐
4407,23413,,磔,磔,磔
4408,16674,,磕,磕,磕
4409,21978,,磕,磕,磕
4410,25016,,磕,磕,磕
4411,19818,,磡,磡,磡
4412,13357,,磢,磢,磢
4413,11348,,磥,磥,磥
4414,6642,0015,磨,磨,磨
4415,18751,0016,磨,磨,磨
4416,19327,,磬,磬,磬
4417,2047,,磲,磲,磲
4418,3835,,磷,磷,磷
4419,4884,,磻,磻,磻
4420,7124,,礓,礓,礓
4421,1846,,礠,礠,礠
4422,22021,,礤,礤,礤
4423,9789,,礹,礹,礹
4424,15328,,示,示,示
4425,11154,,礼,禮,禮
4426,11155,,礼,礼,礼
4427,13236,,社,社,社
4428,10500,,祀,祀,祀
4429,1437,,祁,祁,祁
4430,780,,祇,祇,祇
4431,1945,,祈,祈,祈
4432,10586,,祉,祉,祉
4433,19437,,祐,祐,祐
4434,11088,,祖,祖,祖
4435,15981,,祚,祚,祚
4436,19493,,祝,祝,祝
4437,20496,,祝,祝,祝
4438,3795,0636,神,神,神
4439,15073,,祟,祟,祟
4440,1769,0232,祠,祠,祠
4441,7034,,祥,祥,祥
4442,,0311,票,,票
4443,16288,,祭,祭,祭
4444,7958,,祯,禎,禎
4445,18582,,祷,禱,禱
4446,12928,,祷,禱,禱
4447,13169,0026,祸,禍,禍
4448,1711,,祺,祺,祺
4449,14254,,禀,稟,稟
4450,19784,,禁,禁,禁
4451,9251,,禁,禁,禁
4452,20188,,禄,祿,祿
4453,18124,,禅,禪,禪
4454,5385,,禅,禪,禪
4455,16167,,禊,禊,禊
4456,20303,0961,福,福,福
4457,1712,,禥,禥,禥
4458,1814,,禧,禧,禧
4459,10502,,禩,禩,禩
4460,7142,,禳,禳,禳
4461,10836,,禹,禹,禹
4462,2251,,禺,禺,禺
4463,14855,,离,離,離
4464,1022,,离,離,離
4465,9209,,禽,禽,禽
4466,6695,,禾,禾,禾
4467,19542,,秀,秀,秀
4468,1421,,私,私,私
4469,20156,,秃,禿,禿
4470,11983,,秆,稈,稈
4471,11984,,秆,秆,秆
4472,13593,,秉,秉,秉
4473,5189,,秊,秊,秊
4474,8525,,秋,秋,秋
4475,8530,,秋,鞦,鞦
4476,8526,,秌,秌,秌
4477,14805,0983,种,種,種
4478,9908,,种,種,種
4479,18676,,秏,秏,秏
4480,18735,,科,科,科
4481,6701,,科,科,科
4482,12730,,秒,秒,秒
4483,7586,,秔,秔,秔
4484,10364,,秕,秕,秕
4485,15090,,秘,祕,祕
4486,2797,0068,租,租,租
4487,22033,,秣,秣,秣
4488,19389,0812,秤,秤,秤
4489,3876,,秦,秦,秦
4490,7278,0748,秧,秧,秧
4491,21108,,秩,秩,秩
4492,21369,,秫,秫,秫
4493,23774,0883,积,積,積
4494,19388,,称,稱,稱
4495,8365,,称,稱,稱
4496,15438,,秲,秲,秲
4497,801,0211,移,移,移
4498,17161,,秽,穢,穢
4499,1986,,稀,稀,稀
4500,2552,,稃,稃,稃
4501,7587,,稉,稉,稉
4502,7981,0876,程,程,程
4503,18521,,稍,稍,稍
4504,16352,,税,稅,稅
4505,14207,,稔,稔,稔
4506,16756,,稗,稗,稗
4507,24252,,稙,稙,稙
4508,15200,,稚,稚,稚
4509,11911,,稛,稛,稛
4510,6704,,稞,稞,稞
4511,8767,,稠,稠,稠
4512,2834,,稣,穌,穌
4513,18757,,稬,稬,稬
4514,22272,,稭,稭,稭
4515,3344,,稭,稭,稭
4516,11879,,稳,穩,穩
4517,24386,,稷,稷,稷
4518,20513,,稸,稸,稸
4519,11524,,稹,稹,稹
4520,3737,,稹,稹,稹
4521,12901,,稻,稻,稻
4522,18797,,稼,稼,稼
4523,11230,,稽,稽,稽
4524,3068,,稽,稽,稽
4525,12958,,稾,稾,稾
4526,16290,,穄,穄,穄
4527,7408,,穅,穅,穅
4528,20615,,穆,穆,穆
4529,24327,,穑,穡,穡
4530,15067,,穗,穗,穗
4531,10686,,穞,穭,穭
4532,16067,,穧,穧,穧
4533,7141,,穰,穰,穰
4534,22495,,穴,穴,穴
4535,22253,,穵,穵,穵
4536,19452,,究,究,究
4537,140,0958,穷,窮,窮
4538,133,,穹,穹,穹
4539,14699,,空,空,空
4540,178,,空,空,空
4541,13686,,穽,穽,穽
4542,18156,,穿,穿,穿
4543,5485,,穿,穿,穿
4544,21781,,突,突,突
4545,6275,,窂,窂,窂
4546,22420,,窃,竊,竊
4547,23464,0846,窄,窄,窄
4548,12629,,窈,窈,窈
4549,18340,,窍,竅,竅
4550,5893,,窑,窯,窯
4551,21205,,窒,窒,窒
4552,22679,,窒,窒,窒
4553,700,,窓,窓,窓
4554,12656,,窕,窕,窕
4555,18476,,窖,窖,窖
4556,,0780,窗,,窗
4557,11569,,窘,窘,窘
4558,17789,,窜,竄,竄
4559,21847,,窟,窟,窟
4560,6702,,窠,窠,窠
4561,21867,,窣,窣,窣
4562,922,,窥,窺,窺
4563,19646,,窦,竇,竇
4564,19790,,窨,窨,窨
4565,5894,,窰,窰,窰
4566,5174,,窴,窴,窴
4567,175,,窿,窿,窿
4568,24667,0452,立,立,立
